"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034329","GO:0034329","cell junction assembly","140/3020","434/18866",1.7525315744755e-17,1.10970299295788e-13,9.32531274628804e-14,"LRFN5/CNTN5/GPC4/MEF2C/CLDN1/CTNND2/EPHA7/NTN1/GRID2/THBS1/EPHA3/LAMA3/LAMC1/BCL2/CDH18/SLITRK6/PEAK1/IL1RAPL1/MACF1/PTPRK/RAP1B/LRRC4/NRXN1/PCDH17/ROBO2/RYK/NTRK3/GPC6/NRG1/NRCAM/EPB41L5/CDH10/CLASP2/TBCD/ADGRL3/PARD6G/FGF13/SIX1/ADNP/CDH20/CAV1/SLITRK3/NTRK2/PRKCH/LIMCH1/SDK1/PLXNB1/GJA10/CDH11/CLDN16/BCAS3/LRRTM1/ITGB1BP1/NRP1/CBLN1/PTPRD/EPHB1/CDH1/CBLN4/MYO9A/NFASC/FZD1/IL1RAPL2/RAB17/ADGRB3/FERMT2/BDNF/CDH8/MARVELD3/WDPCP/GRHL2/PTK2/LGI2/CORO2B/SORBS1/SLITRK1/PATJ/ZNF703/DNM3/GABRG2/SFRP1/PLXND1/KIRREL3/ASIC2/FRMPD2/RAPGEF2/GREM1/LRRTM3/CDH2/CTNND1/CLSTN2/THBS2/EPHB2/CDH7/GJA1/AFDN/LSR/PDLIM5/ECT2/CDH12/PTPRJ/CDH6/SLITRK5/DLG5/TNF/WNT4/CDHR3/APP/PCLO/PIP5K1A/IKBKB/CBLN2/IL1RAP/DNER/DRD1/SLC9A1/PRKCA/ITGA6/CORO1C/CDH19/CLSTN1/EFNA5/JUP/CDH9/PRKCI/IQGAP1/DST/SLITRK2/RUNX1/COLQ/NLGN4X/RCC2/FARP1/VMP1/CLDN34/CDH5/PARD3/GAP43/LRRN3/GABRB3",140
"GO:0050808","GO:0050808","synapse organization","137/3020","433/18866",2.35604923798292e-16,7.45925188745394e-13,6.26833099894931e-13,"LRFN5/CNTN5/ARHGAP22/GPC4/MEF2C/CTNND2/EPHA7/EPHA4/NTN1/ABI2/SEMA3E/GRID2/ACTR2/NRP2/SLITRK6/PPFIA3/IL1RAPL1/SLC7A11/IGSF21/LRRC4/NRXN1/CAST/PCDH17/ROBO2/RYK/NTRK3/GPC6/NRG1/CTNNA2/NRCAM/ADGRL3/TANC1/FGF13/SIX1/ADNP/SLITRK3/LRRC4C/NTRK2/TNR/FYN/GRM5/SDK1/PLXNB1/GJA10/STAU1/ZMYND8/LRRTM1/ERC2/NRP1/ETV5/CBLN1/PTPRD/EPHB1/CDH1/CBLN4/ELFN1/NFASC/FZD1/IL1RAPL2/SEZ6L/RAB17/ADGRB3/BDNF/CDH8/UBE3A/PTK2/LGI2/ZNF365/SHISA6/SLITRK1/DLG2/DNM3/GABRG2/CNKSR2/NOS1AP/DOK7/PLXND1/NFIA/KIRREL3/ASIC2/NTNG1/LRRTM3/CDH2/CLSTN2/THBS2/EPHB2/PDZRN3/PDLIM5/NEUROD2/LRRK2/LMX1A/DAB2IP/ACTBL2/SLITRK5/MIR30B/DLG5/TNF/WASF2/PFN2/APP/PCLO/CBLN2/GRIN2B/VCP/IL1RAP/DNER/ANK3/DRD1/FNTA/CTTNBP2/UNC13A/PPFIA2/CLSTN1/CDK5R1/EFNA5/MYOT/ITPKA/CDH9/EFNA1/PPFIBP2/SLITRK2/SIPA1L1/DISC1/COLQ/COL4A1/PTN/NLGN4X/IGSF9B/FARP1/UNC13C/GAP43/ZNF804A/PRNP/UTRN/TIAM1/LRRN3/GABRB3",137
"GO:0007409","GO:0007409","axonogenesis","145/3020","482/18866",3.59663082593083e-15,7.591288796598e-12,6.37928730704573e-12,"SEMA3A/AUTS2/NRXN3/DOK5/COBL/EPHA7/SLIT2/EPHA4/NTN1/USP9X/BCL11B/SEMA3E/EPHA3/LAMA3/NRP2/BCL2/SLITRK6/MACF1/ROBO1/GLI2/PLXNA1/MYCBP2/PTPRM/PAX2/UNC5D/FGFR2/NRXN1/TIAM2/SEMA3C/CRMP1/ROBO2/MAP2/RYK/NTRK3/CHODL/CTNNA2/NRCAM/SEMA6D/CNTN6/ENAH/FGF13/ADNP/SLITRK3/LRRC4C/NTRK2/ATP8A2/TNR/FYN/PLXNB1/CDH11/FOXB1/GLI3/DAB1/NRP1/SEMA3D/BMPR1B/EPHB1/DPYSL2/NR4A2/NCAM1/NFASC/B4GALT5/FEZ2/CDH4/PLXNC1/ANOS1/BDNF/SPTB/PTPN11/C9orf72/APBB2/PTK2/SLITRK1/NFIB/FRS2/DOCK7/PHOX2B/IRS2/PLXND1/DCC/NTNG1/CDH2/ALCAM/KIF13B/EPHB2/PLXNA4/VSTM2L/ETV1/NTN3/LMX1A/SPTAN1/CNTN4/CRABP2/WNT3/ACTBL2/SLITRK5/VAX2/GBX2/BSG/PLXNA2/ARHGAP35/APP/SEMA5A/SEMA5B/DCLK1/BARHL2/EXT1/UST/DSCAML1/TRIO/CHN1/CXCL12/TNN/ANK3/DOK6/HSP90AB1/GFRA1/PRKCA/CDK5R1/EFNA5/TBR1/MYOT/NUMB/EFNA1/SLITRK2/SIPA1L1/MATN2/OMG/RTN4/RAPH1/DISC1/MYPN/GATA3/ARTN/RHOG/RAP1GAP/SEMA3G/PARD3/VANGL2/GAP43/PTPRZ1/TIAM1/SEMA6A/NDEL1/KIF5B",145
"GO:0030900","GO:0030900","forebrain development","124/3020","391/18866",5.22200133032226e-15,8.26642810590014e-12,6.94663598020500e-12,"SEMA3A/NPY/KDM2B/NEUROD6/DCLK2/TBX3/SLIT2/BCL11B/NRP2/EZH2/ROBO1/GLI2/RARB/KDM1A/SLC7A11/EOMES/FGFR2/PRKG1/PPARGC1A/CNTNAP2/FGFR1/ROBO2/RYK/NRG1/TOX/NRG3/SALL1/PPP1R9B/FGF13/ARID1A/TACC1/NTRK2/TNR/FYN/GSX1/ZNF335/KRAS/NCOA1/FOXB1/GLI3/DAB1/NRP1/AGTPBP1/SOX2/SATB2/CDH1/NR4A2/ZMIZ1/SECISBP2/SCN5A/GDPD5/BMP4/GSC/NFIB/FRS2/PITX1/DOCK7/SYNE2/TENT2/CHD5/BCL2A1/KIRREL3/RAPGEF2/ID4/CDH2/BTBD3/MKKS/EPHB2/ID2/PLXNA4/PAX5/NEUROD1/LRRK2/FAT4/LMX1A/LRP2/ALK/DCT/PHACTR1/SUN2/INHBA/SOX1/WDR89/DAB2IP/SLITRK5/VAX2/GBX2/LEF1/WNT4/ALDH1A3/PTCHD1/ARHGAP35/PROX1/APP/EFHC1/IGF2BP1/SEMA5A/DCLK1/EXT1/DMRTA2/GLI1/CDK6/CXCL12/DRD1/KIF14/CORO1C/CDK5R1/SIX3/TBR1/NUMB/KCNC2/SLC2A1/RTN4/DISC1/DNAH5/PTN/CHD7/BMP2/ALDH1A2/ADCYAP1/RAB3GAP1/BTG2/NDEL1/KIF5B",124
"GO:0022604","GO:0022604","regulation of cell morphogenesis","146/3020","499/18866",3.55302951566916e-14,4.49955657864342e-11,3.78117141088581e-11,"SEMA3A/KANK1/EPHA7/SLIT2/EPHA4/DIAPH1/NTN1/ABI2/SEMA3E/ACTR2/IL1RAPL1/MACF1/ROBO1/PLXNA1/MYCBP2/BCL11A/TIAM2/SEMA3C/RHOU/ROBO2/MAP2/RYK/NTRK3/CHODL/NRCAM/HECW2/SEMA6D/ARHGAP15/DNMBP/MIR21/PREX1/FGF13/POSTN/ADNP/LRRC4C/NTRK2/TNR/FYN/PALMD/FMNL2/PLXNB1/DAB1/ITGB1BP1/NRP1/PTPRD/GNA12/SEMA3D/DPYSL2/S100A13/MYO9A/DVL2/MKLN1/CDH4/PLXNC1/ADGRB3/FERMT2/BDNF/WDPCP/UBE3A/PTK2/SYNE3/GBP1/FGD6/OLFM4/SLITRK1/SYT1/HAS2/DNM3/TACSTD2/PLXND1/MYH9/CD44/DCC/RNF157/RAPGEF2/NTNG1/CDH2/KIF13B/TNIK/ARHGAP18/EPHB2/PLXNA4/PALM2AKAP2/EPB41/MYO10/PDLIM5/LRRK2/CRABP2/MOV10/PRAG1/WNT3/CARMIL1/ANXA1/CAPZB/PLXNA2/ARHGAP35/SEMA5A/HECW1/CDC42EP3/SEMA5B/SYT2/BARHL2/UST/DVL3/CHN1/CXCL12/RHOBTB2/EPS8/ARAP1/MYH14/ZMYM3/UNC13A/CORO1C/PPFIA2/CDK5R1/EFNA5/TBR1/DOCK1/ITPKA/RREB1/EFNA1/SIPA1L1/OMG/ARHGEF18/RTN4/OSTN/RND3/DISC1/PDZD8/PTN/KIT/RHOG/RCC2/HEXB/BRWD3/SS18L2/CFDP1/SEMA3G/SDC2/SYT4/SEPTIN7/PRKN/TIAM1/DOCK5/SEMA6A/NDEL1",146
"GO:0043087","GO:0043087","regulation of GTPase activity","140/3020","481/18866",1.87610630456916e-13,1.97991752008865e-10,1.66381006484159e-10,"DENND1A/ARHGAP11A/RGS3/ARHGAP22/GIT1/ARHGAP27/SLIT2/EPHA4/ERRFI1/DEPDC1/EPHA3/EZH2/PLXNA1/RSU1/DOCK9/PRKG1/SPRY2/DOCK8/TIAM2/NTRK3/ARHGAP28/ASAP1/SNX18/ARHGAP15/TBCD/RASAL2/ARHGAP24/MIR21/RGS17/PREX1/RIN2/STXBP5/NTRK2/ARHGAP42/BNIP2/CPEB2/PLXNB1/SRGAP1/RGS7/TBC1D3H/BCAS3/BCAR3/IQGAP2/RGPD5/ITGB1BP1/TBC1D2/NRP1/ARHGAP10/BCL6/MYO9A/DVL2/CHN2/PLXNC1/RALGAPA1/ADGRB3/SH3BP4/GNB5/PTK2/FGD6/RGS6/AMOT/DOCK7/ARHGEF16/SFRP1/TBC1D1/PLXND1/RANBP3L/RGS5/ARHGAP29/CCR7/RAPGEF2/RAPGEF3/AGAP6/ARAP2/ALDH1A1/MKKS/TBC1D8/ARHGAP18/ARHGAP40/PLXNA4/CXCL13/AFDN/ECT2/RIN3/TBC1D16/LRRK2/IQSEC1/DAB2IP/TBC1D19/ABR/WNT4/TBC1D14/PLXNA2/ARHGAP35/ARHGAP20/GNAQ/PIP5K1A/MMUT/DVL3/DOCK2/CHN1/MAPRE2/LRCH1/DENND1B/ARAP1/TRAPPC6A/RALGAPA2/RGS10/VAV3/RASGRP3/ITGA6/CORO1C/EFNA5/DOCK1/IQGAP1/PLEKHG6/SIPA1L1/SBF2/AGAP5/AGFG2/RHOG/RCC2/ARHGAP25/DOCK4/RAP1GAP/ADCYAP1/ARHGAP9/NTF3/RGL3/HACD3/TBC1D21/RAB3GAP1/RGS8/USP6NL/SIPA1L3/RABGAP1L/ARAP3/TIAM1/DOCK5/NDEL1",140
"GO:0007416","GO:0007416","synapse assembly","70/3020","184/18866",3.516041903966e-13,3.18051104798753e-10,2.67272057512002e-10,"LRFN5/CNTN5/GPC4/MEF2C/EPHA7/NTN1/GRID2/SLITRK6/IL1RAPL1/LRRC4/NRXN1/PCDH17/ROBO2/RYK/NTRK3/GPC6/NRG1/NRCAM/ADGRL3/FGF13/SIX1/ADNP/SLITRK3/NTRK2/SDK1/PLXNB1/GJA10/LRRTM1/CBLN1/PTPRD/EPHB1/CDH1/CBLN4/FZD1/IL1RAPL2/RAB17/ADGRB3/BDNF/PTK2/LGI2/SLITRK1/DNM3/GABRG2/PLXND1/KIRREL3/ASIC2/LRRTM3/CDH2/CLSTN2/THBS2/EPHB2/PDLIM5/SLITRK5/DLG5/APP/PCLO/CBLN2/IL1RAP/DNER/DRD1/CLSTN1/EFNA5/CDH9/SLITRK2/COLQ/NLGN4X/FARP1/GAP43/LRRN3/GABRB3",70
"GO:0007411","GO:0007411","axon guidance","94/3020","284/18866",6.60847434195677e-13,5.23060744165879e-10,4.39550497349888e-10,"SEMA3A/NRXN3/DOK5/EPHA7/SLIT2/EPHA4/NTN1/BCL11B/SEMA3E/EPHA3/LAMA3/NRP2/ROBO1/GLI2/PLXNA1/MYCBP2/PTPRM/UNC5D/NRXN1/SEMA3C/CRMP1/ROBO2/RYK/NRCAM/SEMA6D/CNTN6/ENAH/TNR/FYN/PLXNB1/GLI3/DAB1/NRP1/SEMA3D/BMPR1B/EPHB1/DPYSL2/NCAM1/NFASC/FEZ2/CDH4/PLXNC1/ANOS1/BDNF/SPTB/PTPN11/APBB2/PTK2/NFIB/FRS2/IRS2/PLXND1/DCC/ALCAM/EPHB2/PLXNA4/VSTM2L/ETV1/NTN3/LMX1A/SPTAN1/CNTN4/WNT3/GBX2/BSG/PLXNA2/ARHGAP35/APP/SEMA5A/SEMA5B/EXT1/DSCAML1/TRIO/CHN1/CXCL12/DOK6/GFRA1/PRKCA/CDK5R1/EFNA5/TBR1/MYOT/EFNA1/MATN2/MYPN/GATA3/ARTN/RHOG/RAP1GAP/SEMA3G/VANGL2/GAP43/SEMA6A/KIF5B",94
"GO:0097485","GO:0097485","neuron projection guidance","94/3020","285/18866",8.33390452377057e-13,5.86336482716836e-10,4.92723828861523e-10,"SEMA3A/NRXN3/DOK5/EPHA7/SLIT2/EPHA4/NTN1/BCL11B/SEMA3E/EPHA3/LAMA3/NRP2/ROBO1/GLI2/PLXNA1/MYCBP2/PTPRM/UNC5D/NRXN1/SEMA3C/CRMP1/ROBO2/RYK/NRCAM/SEMA6D/CNTN6/ENAH/TNR/FYN/PLXNB1/GLI3/DAB1/NRP1/SEMA3D/BMPR1B/EPHB1/DPYSL2/NCAM1/NFASC/FEZ2/CDH4/PLXNC1/ANOS1/BDNF/SPTB/PTPN11/APBB2/PTK2/NFIB/FRS2/IRS2/PLXND1/DCC/ALCAM/EPHB2/PLXNA4/VSTM2L/ETV1/NTN3/LMX1A/SPTAN1/CNTN4/WNT3/GBX2/BSG/PLXNA2/ARHGAP35/APP/SEMA5A/SEMA5B/EXT1/DSCAML1/TRIO/CHN1/CXCL12/DOK6/GFRA1/PRKCA/CDK5R1/EFNA5/TBR1/MYOT/EFNA1/MATN2/MYPN/GATA3/ARTN/RHOG/RAP1GAP/SEMA3G/VANGL2/GAP43/SEMA6A/KIF5B",94
"GO:1901888","GO:1901888","regulation of cell junction assembly","73/3020","200/18866",1.22295412477667e-12,7.74374551808588e-10,6.50740326394323e-10,"LRFN5/GPC4/MEF2C/CLDN1/EPHA7/NTN1/GRID2/THBS1/EPHA3/SLITRK6/PEAK1/IL1RAPL1/MACF1/RAP1B/NRXN1/ROBO2/NTRK3/GPC6/EPB41L5/CLASP2/ADGRL3/SIX1/ADNP/CAV1/SLITRK3/NTRK2/PRKCH/LIMCH1/BCAS3/LRRTM1/ITGB1BP1/NRP1/CBLN1/PTPRD/EPHB1/FZD1/IL1RAPL2/RAB17/ADGRB3/BDNF/WDPCP/PTK2/SLITRK1/SFRP1/ASIC2/RAPGEF2/GREM1/LRRTM3/CLSTN2/THBS2/EPHB2/GJA1/PDLIM5/PTPRJ/SLITRK5/DLG5/TNF/WNT4/APP/IKBKB/CBLN2/IL1RAP/SLC9A1/CORO1C/CLSTN1/EFNA5/IQGAP1/SLITRK2/RUNX1/COLQ/RCC2/GAP43/LRRN3",73
