"","V1"
"install","0.0006392002 secs"
"packages","5.673983 secs"
"unnamed.chunk.1","0.003788948 secs"
"pbmc.ref","2.255599 mins"
"ref.dimplot","1.955012 secs"
"X3k.load","0.3669918 secs"
"X3k.preprocess","1.025582 mins"
"transfer.anchors","2.243346 mins"
"transfer","31.91845 secs"
"unnamed.chunk.2","0.0006537437 secs"
"X3k.refdimplots","1.137086 secs"
"X3k.featureplots1","1.021964 secs"
"save.img","0.4845579 secs"
"X3k.VlnPlots","12.46845 secs"
"X3k.featureplots2","0.8938291 secs"
"hiddendiet","0.7617435 secs"
"denovoumap","7.77628 mins"
"bmref.seuratdata","8.30141 secs"
"bm.refdimplot","46.65282 secs"
"bm.spca","12.07806 secs"
"bm.nn","12.66268 secs"
"neighbor.demo","0.01497126 secs"
"bm40k.load","3.272271 secs"
"X40k.norm","1.944949 secs"
"bm.anchors","1.570549 mins"
"bm.map","1.46041 mins"
"bm.umap.separate","1.19528 secs"
"bm.umap.combine","5.818797 secs"
"ftplot","9.929711 secs"
